2021.01.05 13:11:39 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2021.01.05 13:11:40 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2021.01.05 13:11:40 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://localhost:9001]
2021.01.05 13:11:41 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 8.6.0.39681 / ec0774da531f570fa05a9f2aab7f165f71c9c071
2021.01.05 13:11:41 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2021.01.05 13:11:41 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /opt/sonarqube/data
2021.01.05 13:11:41 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2021.01.05 13:11:41 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2021.01.05 13:11:42 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2021.01.05 13:11:42 INFO  web[][o.s.s.p.d.m.h.MigrationHistoryTableImpl] Creating table schema_migrations
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin C# Code Quality and Security / 8.15.0.24505 / 0ab8ff1bd890e5c7f58be18371624bf305a20d1e
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin CSS Code Quality and Security / 1.3.1.1642 / f249c9f1b256ec276f3ba6d6d900a64849119709
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Flex Code Quality and Security / 2.6.0.2294 / 64746e0c588ddd44f3216ae1ee02a01bcf6b2dac
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Go Code Quality and Security / 1.8.1.1804 / 888f27a951191447348dd4555b2dcb84f89581ee
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin HTML Code Quality and Security / 3.3.0.2534 / 18c0ca03dae915ebe9bc9bd71345b3290db1d5a5
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JaCoCo / 1.1.0.898 / f65b288e6c2888393bd7fb72ad7ac1425f88eebf
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Java Code Quality and Security / 6.9.0.23563 / 970d69bbeb741abed1ef65a1e641a847af9bf0e3
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JavaScript/TypeScript Code Quality and Security / 7.0.1.14561 / 1f9a0b83a4ad7082ea244f7e0b70c659ec8184c2
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Kotlin Code Quality and Security / 1.8.1.1804 / 888f27a951191447348dd4555b2dcb84f89581ee
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin PHP Code Quality and Security / 3.13.0.6849 / 305515faa80c1572df85b0a9625cab8c83fbd96f
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Python Code Quality and Security / 3.1.0.7619 / afa4cc5b20ce4ae18a7cba39f196ea7bee64eaa0
2021.01.05 13:11:42 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Ruby Code Quality and Security / 1.8.1.1804 / 888f27a951191447348dd4555b2dcb84f89581ee
